gene_symbol,driver_gene_status
ABCB1,Tumour Suppressor
ABL2,Tumour Suppressor
ACACA,Tumour Suppressor
ACVR1B,Tumour Suppressor
ACVR2A,Tumour Suppressor
ADCY1,Oncogene
ADGRL2,Tumour Suppressor
AFDN,Tumour Suppressor
AFF4,Tumour Suppressor
AHCTF1,Tumour Suppressor
AHNAK,Tumour Suppressor
AKAP9,Tumour Suppressor
AKT1,Oncogene
ALK,Tumour Suppressor
AMER1,Tumour Suppressor
AMOT,Tumour Suppressor
ANK3,Tumour Suppressor
APAF1,Tumour Suppressor
APC,Tumour Suppressor
AQR,Tumour Suppressor
ARAP3,Tumour Suppressor
ARFGAP3,Tumour Suppressor
ARFGEF1,Tumour Suppressor
ARFGEF2,Tumour Suppressor
ARHGAP26,Oncogene
ARHGAP29,Tumour Suppressor
ARHGEF6,Tumour Suppressor
ARID1A,Tumour Suppressor
ARID2,Tumour Suppressor
ARID4A,Tumour Suppressor
ARID4B,Tumour Suppressor
ARID5B,Tumour Suppressor
ASH1L,Tumour Suppressor
ASPM,Tumour Suppressor
ASXL1,Tumour Suppressor
ATM,Tumour Suppressor
ATR,Tumour Suppressor
ATRX,Tumour Suppressor
AXIN1,Tumour Suppressor
AXIN2,Tumour Suppressor
B2M,Tumour Suppressor
BAP1,Tumour Suppressor
BAZ2B,Tumour Suppressor
BCLAF1,Tumour Suppressor
BCOR,Tumour Suppressor
BLM,Tumour Suppressor
BMPR2,Tumour Suppressor
BNC2,Tumour Suppressor
BPTF,Tumour Suppressor
BRAF,Tumour Suppressor
BRCA1,Tumour Suppressor
BRCA2,Tumour Suppressor
BRWD1,Tumour Suppressor
CAD,Tumour Suppressor
CASP8,Tumour Suppressor
CCAR1,Tumour Suppressor
CCND1,Oncogene
CDC27,Tumour Suppressor
CDC73,Tumour Suppressor
CDH1,Tumour Suppressor
CDK12,Tumour Suppressor
CDKN1A,Tumour Suppressor
CDKN1B,Tumour Suppressor
CDKN2A,Tumour Suppressor
CEP290,Tumour Suppressor
CHD4,Tumour Suppressor
CHD6,Tumour Suppressor
CHD9,Tumour Suppressor
CIC,Tumour Suppressor
CLASP2,Tumour Suppressor
CLOCK,Tumour Suppressor
CLSPN,Tumour Suppressor
CMTR2,Tumour Suppressor
CNOT1,Tumour Suppressor
CNOT3,Tumour Suppressor
COL1A1,Tumour Suppressor
CREBBP,Tumour Suppressor
CTCF,Tumour Suppressor
CTNNB1,Oncogene
CTNND1,Tumour Suppressor
CUL2,Tumour Suppressor
CUL3,Tumour Suppressor
CUX1,Tumour Suppressor
CYLD,Tumour Suppressor
DDX3X,Tumour Suppressor
DDX5,Oncogene
DHX15,Tumour Suppressor
DHX9,Tumour Suppressor
DICER1,Tumour Suppressor
DLG1,Tumour Suppressor
